Единица освещенности.|люкс
Упругое, в виде подушечки, утолщение кожного покрова на подошвенной стороне лапы или пальцев у млекопитающих и птиц.|мякиш
Приспособление, с помощью которого разминают, мнут.|мялка
Стихийное восстание; бунт.|мятеж
Вооруженное выступление в результате заговора против существующей государственной власти.|мятеж
Сигнал тревоги для оповещения о пожаре или другом бедствии, подаваемый ударами колокола.|набат
Внезапное нападение, кратковременное вторжение.|набег
Титул крупных мусульманских аристократов - князьков - в Индии.|набоб
Совокупность предметов одного назначения, составляющих целое.|набор
Совокупность набранных литер, воспроизводящих текст.|набор
Остов, основание судна.|набор
Груда, скопление.|навал
Приближение к другой лодке, могущее привести к столкновению (в состязаниях по гребле).|навал
Жир, образующийся на поверхности жидкого кушанья при варке.|навар
Жидкость, насыщенная соком варившегося в ней продукта.|навар
Кровля на столбах или иных опорах для защиты от солнца или непогоды.|навес
Смесь помета домашних животных с подстилкой, служащая для удобрения почвы.|навоз
Уменье, приобретенное упражнениями, опытом, привычкой.|навык
Привычная реакция человека или животного на раздражение, возникающая в результате многократного опыта.|навык
Револьвер особой системы с вращающимся барабаном.|наган
Обуглившийся кончик светильника (свечи, лучины и т.п.), а также нарост на нем, образующийся при горении.|нагар
Окалина на металле, образующаяся при горении.|нагар
Повышение уровня воды, вызванное воздействием ветра.|нагон
Время, нагнанное в пути (при движении поездов, судов и т.п.).|нагон
Участок земли, выделявшийся в пользование крестьянской семье.|надел
Точка небесной сферы, находящаяся под горизонтом, противоположная зениту.|надир
Количество надоенного молока.|надой
Приезд в большом числе.|наезд
Приезд на непродолжительное время.|наезд
Один из приемов киносъемки, заключающийся в постепенном, плавном приближении киносъемочного аппарата к снимаемому объекту.|наезд
Утолщение штриха при письме пером.|нажим
Натиск, давление.|нажим
Выделение голосом некоторых слов, повышение тона в разговоре.|нажим
Количество сжатых злаков.|нажин
Приказание, распоряжение, наставление.|наказ
Степень свечения раскаленного тела.|накал
Хорошо утрамбованная, укатанная дорога.|накат
Движение по инерции.|накат
Ряд бревен или толстых досок, настилаемый на балки потолка, перекрытия или служащий основанием пола.|накат
Поперечные слеги, доски на плотах, паромах, служащие для скрепления продольных бревен, досок.|накат
Возвращение орудия в первоначальное положение после отката его в результате произведенного выстрела.|накат
Механизм для наматывания бумаги в бумагоделательной машине.|накат
Способ удара, при котором бьющий шар катится за ударенным шаром (в игре на бильярде).|накат
Род ударного инструмента вроде барабана, бубна, литавр в Древней Руси.|накры
Лепные украшения.|налеп
Стремительное нападение, атака.|налет
Нападение с целью грабежа, обыска и т.п.|налет
Тонкий слой мельчайших частиц, осевших на поверхности.|налет
Гнойное образование на воспаленном органе или ране.|налет
Наполнение жидкостью.|налив
Приток сока в плодах и зерне во время их созревания.|налив
Хищная пресноводная рыба семейства тресковых, узкая и длинная, с пятнистой и скользкой кожей.|налим
Установленный обязательный платеж, взимаемый с граждан и юридических лиц.|налог
Слово, выражение, в котором не полностью высказывается мысль, но дается возможность догадаться о том, что имеет в виду говорящий, пишущий.|намек
Узорное украшение, обычно в виде листьев, идущих от шлема и окаймляющих щит (в геральдике).|намет
Ход, аллюр лошади галопом (у казаков).|намет
Намятое и воспаленное место.|намин
Земля у берега, намытая водой.|намыв
Сорт грубой хлопчатобумажной ткани из толстой пряжи (обычно желтого цвета).|нанка
Слой земли, песку, ила и т.п., образовавшийся в результате деятельности текучих вод, льда и ветра.|нанос
Мелодия, мотив.|напев
Напаянный на кусок, кусочек металла; напайка.|напой
Давление, нажим.|напор
Натиск, сильное воздействие.|напор
Узкое углубление в виде канавки, полоски, сделанное режущим орудием.|нарез
Население, объединенное принадлежностью к одному государству; жители страны.|народ
Воспалительная опухоль в ткани организма, переходящая или перешедшая в нагноение; абсцесс.|нарыв
То, во что наряжаются; одежда (обычно праздничная, лучшая).|наряд
Распоряжение, задание выполнить работу.|наряд
Документ, предписание о выдаче или отправке товаров, материалов, оборудования и т.п.|наряд
Исполнение обязанностей - обычно воинских - по особому назначению.|наряд
Группа военнослужащих, подразделение, выполняющее воинские обязанности по особому назначению.|наряд
Артиллерийские орудия того или иного назначения вместе с боеприпасами к ним (на Руси конца XV в. - начала XVIII в.).|наряд
Плоскодонное судно с высокими набитыми бортами (в старину).|насад
Механизм, служащий для накачивания или выкачивания жидкостей, газов.|насос
Болезненная опухоль на небе (у животных).|насос
Осадок, образующийся в пещерах и других подземных полостях из просачивающейся воды, напитанной известью.|натек
Зарубка, отметина (на дереве, досках и т.п.).|натес
Исторически сложившаяся и непрерывно развивающаяся система знаний о закономерностях развития природы, общества и мышления и о способах их планомерного воздействия на окружающий мир.|наука
Отдельная область, раздел знаний.|наука
Беззастенчивый, бесцеремонный человек; наглец.|нахал
Исторически сложившаяся устойчивая общность людей, возникшая на базе общности языка, территории, экономической жизни, а также на основе специфической только для данного этноса, добровольно и естественно принимаемой всеми национальной культуры и формируемого на ее основе национального интереса.|нация
Государство, страна.|нация
Неутвержденный расход, подлежащий возмещению; денежное взыскание.|начет
Нимфа рек и ручьев (в древнегреческой мифологии).|наяда
Одна из разновидностей моллюска, распространенная в пресных водах Европы.|наяда
Род большой рыболовной сети.|невод
Представители коренного населения тропической Африки, характеризующиеся темным цветом кожи, а также чернокожие жители Америки и некоторых других стран.|негры
Титул абиссинского монарха.|негус
Глубины земли, места под земной поверхностью.|недра
Внутренняя часть.|недра
Сильное недомогание, болезнь.|недуг
Те, кто принадлежат к немецкой национальности; основное население Германии.|немцы
Народ, составляющий коренное население Ненецкого, Ямало-Ненецкого и Таймырского округов, входящих в состав России.|ненцы
Система отходящих от спинного и головного мозга отростков-волокон, определяющая деятельность организма, состояние и поведение человека.|нервы
Рыба из рода дальневосточных лососей.|нерка
Ластоногое млекопитающее семейства тюленей.|нерпа
Минеральное жидкое маслянистое горючее вещество, обычно красно-коричневого или черного цвета, залегающее в недрах земли и употребляющееся в качестве топлива, а также как сырье для получения различных продуктов (керосина, бензина и т.п.).|нефть
Народность, живущая по нижнему течению Амура и на острове Сахалине, говорящая на языке палеоазиатской группы.|нивхи
Нитка, на которую нанизано.|низка
Божество в виде женщины, олицетворявшее различные силы природы (в древнегреческой мифологии).|нимфа
Вторая стадия развития личинки некоторых насекомых (в зоологии).|нимфа
Тонко ссученная скрученная пряжа для шитья, вязания и т.п.|нитка
Низка (жемчуга, бисера и т.п.).|нитка
Предмет, не имеющий никакой цены.|ничто
Исход игры, при котором никто не выигрывает.|ничья
Стебелек растения, нижняя часть гриба.|ножка
Опора, стойка (мебели, утвари и т.п.).|ножка
Раздвижная половинка циркуля и некоторых других инструментов.|ножка
Начальник, господин (у ряда восточных народностей).|нойон
Порядковое число предмета в ряду других однородных.|номер
обозначенное определенным числом по порядку.|номер
Планка, ярлык, бляха, кусок бумаги и т.п. с изображением цифры (как документ, знак регистрации, инвентарной описи учреждения и т.п.).|номер
Размер предмета (одежды, ниток и т.п.).|номер
Отдельная комната в гостинице, бане.|номер
Отдельное законченное выступление артиста в эстрадном концерте и цирковом представлении.|номер
Музыкальное произведение, исполняемое девятью инструментами или девятью голосами.|нонет
Ансамбль из девяти музыкантов-исполнителей (инструменталистов или вокалистов).|нонет
Ковшовый элеватор с рядом черпаков на движущейся цепи или ленте для подъема сыпучих тел, воды и т.п.|нория
Хищный пушной зверек из рода хорьков с коричневой блестящей шерстью.|норка
Установленная мера, размер.|норма
Обезьяна семейства собакообразных с длинным носом.|носач
Выступающая часть чайника, кувшина, молочника и т.п., через которую наливают жидкость.|носик
Короткие чулки, не доходящие до колена.|носки
Передний конец обуви или чулка.|носок
Передняя часть ступни человека.|носок
Извещение о полной готовности судна к погрузке или выгрузке.|нотис
Обычаи, уклад общественной жизни.|нравы
Состояние, при котором испытывается острый недостаток в средствах к существованию; нищета, бедность.|нужда
Потребность, необходимость, надобность.|нужда
Дружинник, воин личной охраны хана, князя и т.п. (у некоторых восточных народностей).|нукер
Водоплавающая птица семейства гусиных.|нырок
Оттенок, едва заметный переход от одного цвета к другому.|нюанс
Место среди пустыни, покрытое растительностью и имеющее источник.|оазис
Падение отделившейся, оторвавшейся при разрушении части (горы, здания и т.п.).|обвал
Глыба камня, снега, земли, обрушившаяся с горы, скалы и т.п.|обвал
Окаймляющая полоса.|обвод
Ожог.|обжог
Возможность охватить взором, обозревать пространство.|обзор
Несправедливо причиненное огорчение, оскорбление.|обида
Очертание, наружность, общий внешний вид.|облик
Улов.|облов
Запущенная, покрытая дерном пашня.|облог
Место слома, разлома.|облом
Простейшая архитектурная деталь, не разложимая на составные части.|облом
Процесс реализации стоимости как одна из форм производственных отношений.|обмен
Сеть для ловли зверя, рыбы.|обмет
Внешний вид, облик.|образ
Живое, наглядное представление.|образ
Художественное отражение идей и чувств в звуке, слове, красках и т.п.|образ
Вид, порядок, склад.|образ
Икона.|образ
Обезжиренное сепаратором молоко.|обрат
Плоскость среза берега, насыпи и т.п.|обрез
Кадка из распиленной пополам бочки; полубочка.|обрез
Узкое пространство между внутренним откосом канавы и полотном дороги, а также между наружным откосом и границей отчуждения (в технике).|обрез
Уступ в стене по горизонтальной линии.|обрез
Одна из основных форм эксплуатации крестьян помещиками при крепостном праве, в результате которой помещик взимал с крестьянина натуральный или денежный сбор.|оброк
Сбор, взимавшийся помещиком.|оброк
Металлическая или деревянная полоса в виде кольца, обода.|обруч
Обод, набиваемый на бочку, кадку для скрепления клепок.|обруч
Место, где круто снижается поверхность из-за обвала или осыпания земли; крутой откос.|обрыв
Церемония, чин, по которому совершается.|обряд
Действия, строго определенные обычаем, сопровождающие и оформляющие акты (обычно культового характера).|обряд
Предметы, надеваемые на ноги (ботинки, сапоги, туфли и т.п.) для защиты от холода, удобства движения и т.п.|обувь
Тягостная забота, обязанность.|обуза
Место, по которому можно обойти.|обход
Движение с целью побывать в ряде мест, у ряда лиц.|обход
Маневр, производимый с целью удара во фланг или в тыл противника.|обход
Величина в длину, ширину и высоту тела с замкнутыми поверхностями, измеряемая в кубических единицах.|объем
Величина, размеры.|объем
Осмотр органами власти с целью найти укрываемое, недозволенное.|обыск
Огородные плоды и зелень, употребляемые в пищу.|овощи
Глубокая, длинная впадина на поверхности земли, рытвина от действия талых вод, ливней.|овраг
Однолетняя сорная трава, по виду похожая на овес.|овсюг
Работник по уходу за овцами; овечий пастух.|овчар
Раскаленные светящиеся газы, выделяющиеся при горении; пламя.|огонь
Свет от осветительных приборов или от горящего.|огонь
Пропущенное или плохо обработанное место в поле при пахоте, посеве, уборке и т.п.|огрех
Самоназвание юкагиров, проживающих в Якутии и в Магаданской области России.|одулы
Естественный водоем, замкнутый в берегах.|озеро
Осенние посевы однолетних злаков, прорастающих осенью и зимующих под снегом.|озимь
Ощущение холода, вызывающее дрожь в теле (при лихорадке, нервном возбуждении и т.п.).|озноб
Весь водный покров Земли, окружающий материки и острова.|океан
Каждая из четырех частей водного пространства, омывающая материк или находящаяся между отдельными материками.|океан
Промежуточная степень окисления вещества (в отличие от закиси - низшей и перекиси - высшей степени окисления).|окись
Регулярное денежное вознаграждение; заработная плата.|оклад
Денежное обложение; налог.|оклад
Металлическое покрытие на иконе.|оклад
Ручные или ножные кандалы.|оковы
Роды крольчихи.|окрол
Политическая и административно-хозяйственная единица, распадающаяся на более мелкие единицы и входящая в состав областей или других частей государства.|округ
Военно-административное подразделение территории государства.|округ
Территориальное подразделение, устанавливаемое в стране с целью.|округ
Музыкальное произведение для восьми исполнителей (голосов или инструментов).|октет
Пресноводная хищная рыба семейства окуневых с красноватыми плавниками и мелкой, крепко держащейся чешуей.|окунь
Жвачное парнокопытное млекопитающее, тонконогое и стройное, с ветвистыми рогами и коротким хвостом.|олень
Сорт крепкой серной кислоты.|олеум
Вечнозеленое южное дерево семейства масличных с мелкими душистыми цветками и съедобными, видом напоминающими сливу, плодами.|олива
Наиболее высокий горный массив в Греции.|олимп
Священная гора, место пребывания богов во главе с Зевсом (в древнегреческой мифологии).|олимп
Продукт обработки высыхающих растительных масел (льняного, конопляного и т.п.), применяемый для изготовления масляных лаков и красок, грунтовок и т.п.|олифа
Химический элемент; мягкий, ковкий, серебристо-белый металл, применяемый для пайки, лужения, приготовления сплавов и т.п.|олово
Лиственное дерево или кустарник семейства березовых.|ольха
Название последней буквы греческого алфавита.|омега
Вечнозеленое кустарниковое растение с белыми ягодами, паразитирующее на других деревьях.|омела
Кушанье из поджаренных яиц, взбитых с мукой и молоком.|омлет
Промысловая рыба семейства лососевых.|омуль
Дикий осел.|онагр
Минерал, разновидность агата.|оникс
Разновидность лучистого известкового шпата (кальцита, реже арагонита).|оникс
Обмотка для ноги под сапог или лапоть; портянка.|онуча
Гнев, немилость царя к провинившемуся боярину, вельможе, а также наказание впавшему в немилость (в Российском государстве IX-XVI вв.).|опала
Тесто, заправленное дрожжами или закваской.|опара
Закваска для теста.|опара
Организуемая и контролируемая государством защита личности недееспособных (малолетних, душевнобольных и т.п.), попечение об их правах, воспитании, имуществе и т.п.|опека
Попечение о надзор.|опека
Музыкально-драматическое произведение, предназначенное для исполнения в театре, в котором действующие лица поют в сопровождении оркестра.|опера
Составление списка учитываемых предметов (имущества, документов и т.п.).|опись
Гидрографическая работа по изучению и описанию водных объектов.|опись
Высушенный млечный сок незрелых семенных коробочек мака, употребляемый как наркотик, вызывающий галлюцинации, а в медицине - как болеутоляющее и снотворное средство.|опиум
Приспособление в виде рамы, в котором изготовляются земляные литейные формы.|опока
Кремнистая осадочная горная порода, богатая кремнеземом.|опока
Место, на которое можно встать, твердо опереться.|опора
Часть сооружения, несущая на себе тяжесть других частей и служащая основанием для них.|опора
Часть дьяконского облачения в виде длинной ленты, перекидываемой через плечо.|орарь
Орудие, инструмент, средство.|орган
Государственное или общественное учреждение, входящее в состав определенной системы управления.|орган
Клавишный духовой музыкальный инструмент, состоящий из набора труб (деревянных и металлических), в которые мехами нагнетается воздух.|орган
Название разных автоматических заводных музыкальных инструментов.|орган
Особый тайный культовый обряд и празднество в честь некоторых древневосточных, древнегреческих и древнеримских богов (Вакха, Орфея, Диониса и т.п.).|оргия
Особый знак отличия за военные или гражданские заслуги.|орден
Монашеская или рыцарско-монашеская католическая община с определенным уставом.|орден
Название некоторых тайных объединений, сообществ.|орден
Архитектурная композиция из вертикальных несущих частей (колонн, столбов или пилястр) и горизонтальных несомых частей (антаблемента), сложившаяся в классической форме в Древней Греции.|ордер
Световая кайма, похожая на сияние, вокруг ярко освещенного предмета.|ореол
Изображение сияния вокруг головы Иисуса Христа, Пресвятой Богородицы и святых на иконах, культовых скульптурах и т.п.; нимб.|ореол
Название тропического циклона, образующегося в Южном полушарии.|оркан
Большая хищная птица семейства ястребиных, живущая около водных пространств; морской орел.|орлан
Минерал темно-розового или красного цвета; старое название родонита.|орлец
Многолетнее растение семейства лютиковых; водосбор.|орлик
Многолетнее растение семейства папоротников.|орляк
Живородящая рыба подотряда скатов.|орляк
Малочисленный народ, проживающий в восточной и частично южной части острова Сахалин.|ороки
Малочисленный народ, проживающий в Хабаровском крае России.|орочи
Окружение войсками укрепленного пункта (города, крепости, района) с целью принудить его к сдаче.|осада
Пребывание в осажденном городе, крепости и т.п.; состояние осажденного, осажденных.|осада
Название времени года, сменяющего лето и предшествующего зиме.|осень
Лиственное дерево семейства ивовых с листьями на длинных черенках, очень легко приходящими в движение.|осина
Приоткрытый рот с виднеющимися зубами.|оскал
Дикий осел.|осляк
Химический элемент, синевато-серый металл платиновой группы.|осмий
Явление медленного просачивания растворов сквозь проницаемые органические перегородки.|осмос
Отдельный живой организм; индивид.|особь
Небольшая хищная птица семейства ястребиных, питающаяся преимущественно личинками ос и шмелей.|осоед
Многолетняя болотная трава с упругими длинными и узкими листьями.|осока
Обломки горных пород, осыпающиеся в результате выветривания.|осыпь
Трава, выросшая в тот же год на месте скошенной.|отава
Большое стадо овец.|отара
Звуковой сигнал, возвещающий о прекращении действий, занятий.|отбой
Звонок, сигнализирующий о разъединении телефонных абонентов после разговора.|отбой
Закономерность развития живой природы, определяющая приспособляемость организмов к изменяющимся условиям жизни, основанная на взаимодействии изменчивости, наследственности и выживаемости организмов.|отбор
Приспособление в плуге и в землеройных машинах, служащее для переворачивания и дробления пласта почвы.|отвал
Насыпь из пустых пород, получаемых при разработке месторождений полезных ископаемых.|отвал
Жидкость, насыщенная соком того, что в ней варилось.|отвар
Вертикальный склон, вертикальное направление.|отвес
Небольшой груз, свободно подвешенный на нити, по которой определяют вертикальное направление.|отвес
Устное или письменное высказывание, сообщение, вызванные вопросом или обращением.|ответ
Действие или изъявление чувств, выражающие отношение к отклик.|ответ
Результат решения математической задачи.|ответ
Сопровождение и доставка.|отвод
Перемещение или изменение направления движения.|отвод
Непринятие или устранение как неподходящего, несоответствующего.|отвод
Назначение, передача в пользование, в распоряжение.|отвод
Ответвление в трубе, в кабеле, в радио- и электросети и т.п.|отвод
Один из двух изогнутых брусьев, отходящих под углом от передка шире верхней грядки и служащих для устройства более широкой поверхности саней и для придания им устойчивости (в санях).|отвод
Место, по которому отогнуто; отогнутый край.|отгиб
Одна из частей, на которые подразделяется целое на основании определенных признаков.|отдел
Подразделение учреждения или предприятия.|отдел
Часть помещения, место, где находятся однородные предметы (товары, книги и т.п.).|отдел
Однородные предметы в составе собрания предметов.|отдел
Часть книги, исследования, посвященная одному определенному кругу вопросов.|отдел
Тонкий канал в литейной форме для выхода газов, образующихся при застывании расплавленного металла в форме.|отдух
Непродолжительный перерыв в работе; передышка.|отдых
Свободное от работы время.|отдых
Гостиница.|отель
Особняк, барский дом.|отель
Термическая обработка металла для придания ему качеств.|отжиг
Постепенное охлаждение изделий из стекла в особых печах для придания им крепости.|отжиг
Пуск огня навстречу пожару с целью остановить его (в лесоводстве).|отжиг
Обработка кожи в растворе с золой и известью для удаления шерсти.|отзол
Остановка механизма вследствие порчи.|отказ
Обратное движение ствола или всего артиллерийского орудия после выстрела.|откат
Покатый спуск, скат, наклонная поверхность.|откос
Скошенная, расположенная под углом к другим плоскостям часть строения.|откос
Подпорка в виде наклонно поставленного столба, бревна.|откос
Право на взыскание с населения налогов, а также на монопольное ведение торговли или на эксплуатацию предприятия, предоставляемое государством частному лицу за денежный взнос (в Российском государстве XIX в.).|откуп
Приспособление для стока, сливания жидкости.|отлив
Периодически повторяющееся понижение уровня открытого моря, вызывающее отход воды от берега.|отлив
Отраженный свет, блик на поверхности отблеск.|отлив
Оттенок цвета, примешивающийся к основному цвету, отсвечивающий на его фоне.|отлив
Движение назад, в сторону и т.п. при махании.|отмах
Отражение нападения.|отпор
Несогласие, сопровождаемое возражениями и протестами.|отпор
Ответвление основной горной цепи.|отрог
Мальчик-подросток среднего возраста между ребенком и юношей.|отрок
Младшей член дружины князя (на Руси IX-XIII вв.).|отрок
Обособленный участок, выделенный из земель в собственность.|отруб
Поперечное сечение дерева, бревна.|отруб
Временное или постоянное объединение вооруженных сил для выполнения определенной боевой задачи.|отряд
Группа людей, объединенных для совместной деятельности, работы.|отряд
Подразделение класса в систематике животных.|отряд
Прибор, аппарат для отсасывания, всасывания.|отсос
Труба или канава для стока жидкости.|отток
Удаление, движение от пункта; отбытие, отправление.|отход
Письменное или устное сообщение о своих действиях или о выполнении возложенного поручения, представляемое лицу или учреждению.|отчет
Объяснение или изложение происшедшего.|отчет
Неродной отец, муж матери по отношению к ее детям от прежнего брака.|отчим
Мелкий торговец в Российском государстве до 1917 г., торговавший по деревням вразнос (мануфактурой, галантереей, лубочными книжками, сластями и т.п.); коробейник.|офеня
Способ углубленного гравирования на металлической доске при помощи травления кислотами.|офорт
Способ печатания, при котором изображение с печатной формы передается на резиновую ленту, а с нее на бумагу.|офсет
Желание, стремление, склонность.|охота
Добывание диких зверей, крупных рыб и птиц путем умерщвления их или ловли.|охота
Период течки, стремление к спариванию у самок.|охота
Очертание, контур.|очерк
Небольшое литературное произведение, дающее краткое выразительное описание.|очерк
Описание, исследование вопроса, дающее общее представление о нем.|очерк
Часть мясной туши, прилегающая к шее.|ошеек
Распознавание осязанием; ощупывание.|ощупь
Устройство для обнаружения и определения местонахождения объектов в пространстве по отраженным от них радиоволнам; радиолокатор.|радар
Княжеский титул в Индии.|раджа
Радиоактивный химический элемент, серебристо-белый металл.|радий
Радиоактивный химический элемент, инертный газ, продукт распада радия в обычных условиях.|радон
Высшая ступень познавательной деятельности человека, способность логически и творчески мыслить, обобщать результаты познания.|разум
Ум, интеллект.|разум
Название пирамидального тополя на Украине, на Северном Кавказе.|раина
Территория, составляющая единое целое по признакам, особенностям.|район
Пространство, в пределах которого совершается действие или на которое распространяется действие.|район
Административно-территориальная единица в составе страны или большого города.|район
Сливовая или иная фруктовая водка (у сербов, болгар и т.п.).|ракия
Птица с зеленовато-голубым оперением; сизоворонка.|ракша
Небольшая рама.|рамка
Графическое изображение прямоугольника, внутри которого помещен текст или рисунок.|рамка
Пределы, границы, в которых должно совершаться.|рамки
Невысокий барьер вдоль авансцены, прикрывающий со стороны зрительного зала приборы для освещения сцены.|рампа
